DDX11L1	uc001aaa.3	chr1	+	11873	14409	11873	11873	3	11873,12612,13220,	12227,12721,14409,
DDX11L1	uc010nxr.1	chr1	+	11873	14409	11873	11873	3	11873,12645,13220,	12227,12697,14409,
DDX11L1	uc010nxq.1	chr1	+	11873	14409	12189	13639	3	11873,12594,13402,	12227,12721,14409,
WASH7P	uc009vis.3	chr1	-	14361	16765	14361	14361	4	14361,14969,15795,16606,	14829,15038,15942,16765,
WASH7P	uc009vit.3	chr1	-	14361	19759	14361	14361	9	14361,14969,15795,16606,16857,17232,17914,18267,18912,	14829,15038,15947,16765,17055,17742,18061,18366,19759,
WASH7P	uc009viu.3	chr1	-	14361	19759	14361	14361	10	14361,14969,15795,16606,16857,17232,17914,18267,18500,18912,	14829,15038,15947,16765,17055,17742,18061,18369,18554,19759,
WASH7P	uc001aae.4	chr1	-	14361	19759	14361	14361	10	14361,14969,15795,16606,16857,17232,17605,17914,18267,18912,	14829,15038,15947,16765,17055,17368,17742,18061,18366,19759,
WASH7P	uc001aah.4	chr1	-	14361	29370	14361	14361	11	14361,14969,15795,16606,16857,17232,17605,17914,18267,24737,29320,	14829,15038,15947,16765,17055,17368,17742,18061,18366,24891,29370,
WASH7P	uc009vir.3	chr1	-	14361	29370	14361	14361	10	14361,14969,15795,16606,16857,17232,17914,18267,24737,29320,	14829,15038,15947,16765,17055,17742,18061,18366,24891,29370,
WASH7P	uc009viq.3	chr1	-	14361	29370	14361	14361	7	14361,15795,16606,16857,17605,24737,29320,	14829,15947,16765,17055,18061,24891,29370,
